"dataset_ID","meantimes","Diphasiastrum","Diphasiastrum.alpinum","Diphasiastrum.alpinum.D..complanatum","Diphasiastrum.complanatum","Diphasiastrum.tristachyum","Oxytropis","Ranunculus.glacialis","Saxifraga","Saxifraga.cernua","Saxifraga.cernua.S..rivularis","Saxifraga.cespitosa","Saxifraga.granulata","Saxifraga.hirculus","Saxifraga.oppositifolia","Saxifraga.stellaris","Saxifragaceae","Sedum","Sedum.acre","Sibbaldia","Silene.acaulis","Woodsia"
"20",7697.835,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",7980.4,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",8268.111,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",8605.081,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",8928.585,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",9202.832,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",9473.491,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",9757.009,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",10102.748,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",10238.767,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",10362.602,NA,NA,NA,NA,NA,NA,NA,"0.0097323600973236",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",10589.158,NA,NA,NA,NA,NA,NA,NA,"0.0136518771331058",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317",8379.367,NA,NA,NA,NA,NA,NA,NA,"0.00316455696202532",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317",8684.627,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317",8986.03,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317",9297.284,NA,NA,NA,NA,NA,NA,NA,"0.00221238938053097",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317",9651.305,NA,NA,NA,NA,NA,NA,NA,"0.00836120401337793",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317",10133.253,NA,NA,NA,NA,NA,NA,NA,"0.00395256916996047",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317",10498.949,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317",10808.984,NA,NA,NA,NA,NA,NA,NA,"0.00327868852459016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317",11105.419,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317",11402.658,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317",11743.436,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317",12216.837,NA,NA,NA,NA,NA,NA,NA,"0.00719424460431655",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317",12555.205,NA,NA,NA,NA,NA,NA,NA,"0.0392156862745098",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
