"dataset_ID","meantimes","Abies","Arctostaphylos","Arctostaphylos.uva.ursi","Huperzia","Huperzia.selago","Linnaea.borealis","Lycopodium","Lycopodium.annotinum","Melampyrum","Picea","Picea.abies","Pinus","Pinus.sylvestris","Taxus","Taxus.baccata","Vaccinium"
"12",7129.392,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,"0.139813581890812",NA,NA,NA,NA
"12",7188.946,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,"0.435897435897436",NA,NA,NA,NA
"12",7252.605,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,"0.193181818181818",NA,NA,NA,NA
"12",7336.806,NA,NA,NA,NA,NA,NA,"0.00216919739696312",NA,NA,"0",NA,"0.17353579175705",NA,NA,NA,NA
"12",7431.258,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0.0009000900090009",NA,"0.234023402340234",NA,NA,NA,NA
"12",7490.08,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,"0.274543874891399",NA,NA,NA,NA
"12",7541.192,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,"0.195505617977528",NA,NA,NA,NA
"12",7599.822,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,"0.0883689232167197",NA,NA,NA,NA
"12",7688.586,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,"0.0977734753146176",NA,NA,NA,NA
"12",7759.81,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,"0.0726915520628684",NA,NA,NA,NA
"12",7810.38,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,"0.0326107807404565",NA,NA,NA,NA
"12",7856.731,NA,NA,NA,NA,NA,NA,"0.000437254044599913",NA,NA,"0",NA,"0.171403585483166",NA,NA,NA,NA
"12",7898.493,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,"0.445103857566766",NA,NA,NA,NA
"12",7938.871,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0.00483091787439614",NA,"0.449275362318841",NA,NA,NA,NA
"12",7980.771,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,"0.519859813084112",NA,NA,NA,NA
"12",8025.067,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,"0.112721417069243",NA,NA,NA,NA
"12",8072.125,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,"0.0596451491128728",NA,NA,NA,NA
"12",8125.859,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,"0.0643182267959628",NA,NA,NA,NA
"12",8219.94,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,"0.340579710144928",NA,NA,NA,NA
"12",8313.93,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,"0.335809806835067",NA,NA,NA,NA
"12",8382.081,NA,NA,NA,NA,NA,NA,"0.00146627565982405",NA,NA,"0",NA,"0.390029325513196",NA,NA,NA,NA
"12",8414.191,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,"0.341653666146646",NA,NA,NA,NA
"12",8444.339,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,"0.360349127182045",NA,NA,NA,NA
"12",8473.566,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,"0.396011396011396",NA,NA,NA,NA
"12",8503.083,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,"0.310344827586207",NA,NA,NA,NA
"12",8532.22,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0.00145772594752187",NA,"0.446064139941691",NA,NA,NA,NA
"12",8561.665,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,"0.418156808803301",NA,NA,NA,NA
"12",8590.963,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,"0.428794992175274",NA,NA,NA,NA
"12",8622.269,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,"0.414073071718539",NA,NA,NA,NA
"12",8651.757,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,"0.737075332348597",NA,NA,NA,NA
"12",8680.532,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0.00125944584382872",NA,"0.453400503778338",NA,NA,NA,NA
"12",8709.642,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,"0.5375",NA,NA,NA,NA
"12",8738.987,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,"0.382102272727273",NA,NA,NA,NA
"12",8766.494,NA,NA,NA,NA,NA,NA,"0.00144508670520231",NA,NA,"0",NA,"0.372832369942197",NA,NA,NA,NA
"12",8796.283,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,"0.336676217765043",NA,NA,NA,NA
"12",8824.484,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,"0.376132930513595",NA,NA,NA,NA
