"dataset_ID","meantimes","Echium","Echium.vulgare","Gnaphalium","Portulaca","Potentilla","Potentilla.recta","Sagina","Spergularia","Verbascum","Xanthium"
"720",7126.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"720",6817.214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"720",6439.486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"720",6122.485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"720",5819.016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"720",5512.969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"720",5199.465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"720",4881.143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"720",4513.943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"720",4156.909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"720",3856.229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"720",3565.029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"720",3273.665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"720",2971.669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"720",2628.349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"720",2404.247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"720",2245.491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"720",2097.926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"720",1953.152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"720",1806.308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"720",1663.191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"977",1060.95,NA,NA,NA,NA,"0.041002277904328",NA,NA,NA,NA,NA
"977",1325.533,NA,NA,NA,NA,"0.0291878172588832",NA,NA,NA,NA,NA
"977",1575.767,NA,NA,NA,NA,"0.0965770171149144",NA,NA,NA,NA,NA
"977",1830.437,NA,NA,NA,NA,"0.017286084701815",NA,NA,NA,NA,NA
"977",2095.654,NA,NA,NA,NA,"0.036697247706422",NA,NA,NA,NA,NA
"977",2468.872,NA,NA,NA,NA,"0.11470113085622",NA,NA,NA,NA,NA
"977",2804.785,NA,NA,NA,NA,"0.0236625514403292",NA,NA,NA,NA,NA
"977",3034.456,NA,NA,NA,NA,"0.0100558659217877",NA,NA,NA,NA,NA
"977",3254.858,NA,NA,NA,NA,"0.0152941176470588",NA,NA,NA,NA,NA
"977",3467.634,NA,NA,NA,NA,"0.00963597430406852",NA,NA,NA,NA,NA
"977",3684.493,NA,NA,NA,NA,"0.0041407867494824",NA,NA,NA,NA,NA
"977",3901.161,NA,NA,NA,NA,"0.00375",NA,NA,NA,NA,NA
"977",4112.642,NA,NA,NA,NA,"0.00707547169811321",NA,NA,NA,NA,NA
"977",4216.455,NA,NA,NA,NA,"0.0160891089108911",NA,NA,NA,NA,NA
"977",4432.052,NA,NA,NA,NA,"0.0183752417794971",NA,NA,NA,NA,NA
"977",4535.853,NA,NA,NA,NA,"0.0024330900243309",NA,NA,NA,NA,NA
"977",4742.21,NA,NA,NA,NA,"0.0105017502917153",NA,NA,NA,NA,NA
"977",4945.316,NA,NA,NA,NA,"0.0105386416861827",NA,NA,NA,NA,NA
"977",5157.051,NA,NA,NA,NA,"0.00661000944287063",NA,NA,NA,NA,NA
"977",5377.917,NA,NA,NA,NA,"0.00123304562268804",NA,NA,NA,NA,NA
"977",5734.226,NA,NA,NA,NA,"0.00111358574610245",NA,NA,NA,NA,NA
"977",6468.48,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA
"977",6944.179,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA
"977",7397.254,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA
"977",7842.254,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA
"977",8372.758,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA
"977",8745.253,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA
"977",9001.266,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA
"977",9184.922,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA
"977",9346.426,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA
"977",9502.935,NA,NA,NA,NA,"0.00137551581843191",NA,NA,NA,NA,NA
"977",9656.924,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA
"977",9807.748,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA
"977",9958.279,NA,NA,NA,NA,"0.00089126559714795",NA,NA,NA,NA,NA
"977",10118.528,NA,NA,NA,NA,"0.000764525993883792",NA,NA,NA,NA,NA
"977",10299.092,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA
"977",10509.681,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA
"977",10884.082,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA
"977",11217.481,NA,NA,NA,NA,"0.000489476260401371",NA,NA,NA,NA,NA
"977",11368.917,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA
"977",11523.936,NA,NA,NA,NA,"0.000507356671740233",NA,NA,NA,NA,NA
"977",11837.951,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA
"977",12044.048,NA,NA,NA,NA,"0.000347826086956522",NA,NA,NA,NA,NA
"977",12355.734,NA,NA,NA,NA,"0.000515995872033024",NA,NA,NA,NA,NA
"977",12684.004,NA,NA,NA,NA,"8e-04",NA,NA,NA,NA,NA
"1438",169.122,NA,NA,NA,"0","0",NA,NA,NA,NA,NA
"1438",358.039,NA,NA,NA,"0","0",NA,NA,NA,NA,NA
"1438",549.677,NA,NA,NA,"0","0",NA,NA,NA,NA,NA
"1438",1039.741,NA,NA,NA,"0","0",NA,NA,NA,NA,NA
"1438",1420.89,NA,NA,NA,"0","0",NA,NA,NA,NA,NA
"1438",1805.733,NA,NA,NA,"0","0",NA,NA,NA,NA,NA
"1438",2324.974,NA,NA,NA,"0","0",NA,NA,NA,NA,NA
"1438",2571.484,NA,NA,NA,"0","0",NA,NA,NA,NA,NA
"1438",2979.786,NA,NA,NA,"0.000619962802231866","0",NA,NA,NA,NA,NA
