"Equation","Excluded","F","df1","df2","p.F","sig.F","Chisq","df","p.Chisq","sig.Chisq","Causality"
"decMMs","SPD",0.0125214570881112,1,20,0.912018688306839,"   ",0.0125214570881112,1,0.910903238360091,"   ","decMMs <= SPD"
"decMMs","clim",1.08184144326848,1,20,0.310697413182927,"   ",1.08184144326848,1,0.298285977552953,"   ","decMMs <= clim"
"decMMs","SPD|clim",0.542584212256174,2,20,0.589561631938311,"   ",1.08516842451235,2,0.581244251363858,"   ","decMMs <= SPD|clim"
"conMMs","SPD",0.301973438198809,1,20,0.58873203956332,"   ",0.301973438198809,1,0.582647889166794,"   ","conMMs <= SPD"
"conMMs","clim",4.34487907200869,1,20,0.0501524174058272,".  ",4.34487907200869,1,0.0371204032648234,"*  ","conMMs <= clim"
"conMMs","SPD|clim",2.77299769559475,2,20,0.0865110656580463,".  ",5.5459953911895,2,0.0624744443914521,".  ","conMMs <= SPD|clim"
"heaMWs","SPD",0.565982615304116,1,20,0.460623103930052,"   ",0.565982615304116,1,0.45185974892942,"   ","heaMWs <= SPD"
"heaMWs","clim",0.190188832883609,1,20,0.667430651203542,"   ",0.190188832883609,1,0.662759500020565,"   ","heaMWs <= clim"
"heaMWs","SPD|clim",0.719378789235691,2,20,0.499233617202486,"   ",1.43875757847138,2,0.487054725639909,"   ","heaMWs <= SPD|clim"
"araMWs","SPD",4.52274479515893,1,20,0.0460852929857626,"*  ",4.52274479515893,1,0.0334471305191521,"*  ","araMWs <= SPD"
"araMWs","clim",0.745960294301395,1,20,0.397998220304599,"   ",0.745960294301395,1,0.387758247225193,"   ","araMWs <= clim"
"araMWs","SPD|clim",2.37754211201308,2,20,0.11848295415202,"   ",4.75508422402615,2,0.0927783362510636,".  ","araMWs <= SPD|clim"
"pasMWs","SPD",0.271260834909672,1,20,0.608206025789597,"   ",0.271260834909672,1,0.602487244990993,"   ","pasMWs <= SPD"
"pasMWs","clim",3.1152151648913,1,20,0.0928303275962238,".  ",3.1152151648913,1,0.0775642339691857,".  ","pasMWs <= clim"
"pasMWs","SPD|clim",2.00566173580647,2,20,0.160745554911223,"   ",4.01132347161293,2,0.134571215633119,"   ","pasMWs <= SPD|clim"
"wetmMWs","SPD",1.237489839811,2,16,0.316437617582536,"   ",2.474979679622,2,0.290111531136669,"   ","wetmMWs <= SPD"
"wetmMWs","clim",4.35185955620034,2,16,0.0309642907021181,"*  ",8.70371911240069,2,0.0128828339388448,"*  ","wetmMWs <= clim"
"wetmMWs","SPD|clim",3.1141134872249,4,16,0.0449686013372241,"*  ",12.4564539488996,4,0.0142609078760128,"*  ","wetmMWs <= SPD|clim"
"wetwMWs","SPD",0.0630031585160993,1,20,0.804371558506993,"   ",0.0630031585160993,1,0.801810784834962,"   ","wetwMWs <= SPD"
"wetwMWs","clim",0.00512068786171235,1,20,0.943663640811644,"   ",0.00512068786171235,1,0.942952884211219,"   ","wetwMWs <= clim"
"wetwMWs","SPD|clim",0.0320667209968958,2,20,0.96849165081086,"   ",0.0641334419937915,2,0.968441964510239,"   ","wetwMWs <= SPD|clim"
"decMWs","SPD",2.114995030534,1,20,0.16137710121001,"   ",2.114995030534,1,0.14586252730512,"   ","decMWs <= SPD"
"decMWs","clim",0.272673233456034,1,20,0.60728006774209,"   ",0.272673233456034,1,0.601544155847555,"   ","decMWs <= clim"
"decMWs","SPD|clim",1.48946124391146,2,20,0.249461399698663,"   ",2.97892248782293,2,0.225494109143797,"   ","decMWs <= SPD|clim"
"conMWs","SPD",0.229033580095413,1,20,0.637431526970995,"   ",0.229033580095413,1,0.632241341938678,"   ","conMWs <= SPD"
"conMWs","clim",0.133404160118103,1,20,0.718762422397293,"   ",0.133404160118103,1,0.71492827446677,"   ","conMWs <= clim"
"conMWs","SPD|clim",0.189386544692515,2,20,0.828933364796253,"   ",0.378773089385031,2,0.827466592048673,"   ","conMWs <= SPD|clim"
"heaSEs","SPD",12.4161696288891,1,30,0.00138680863169501,"** ",12.4161696288891,1,0.000425632348886135,"***","heaSEs <= SPD"
"heaSEs","clim",0.137603587350527,1,30,0.713281789443476,"   ",0.137603587350527,1,0.710675089483406,"   ","heaSEs <= clim"
"heaSEs","SPD|clim",6.38660864378295,2,30,0.00488922531095712,"** ",12.7732172875659,2,0.00168395742797244,"** ","heaSEs <= SPD|clim"
"araSEs","SPD",1.88009859043057,6,10,0.180218459226903,"   ",11.2805915425834,6,0.0800819958956683,".  ","araSEs <= SPD"
"araSEs","clim",0.812630219982238,6,10,0.583472064515048,"   ",4.87578131989343,6,0.55984114588687,"   ","araSEs <= clim"
"araSEs","SPD|clim",1.46364428162712,12,10,0.277223177738906,"   ",17.5637313795255,12,0.129593462879028,"   ","araSEs <= SPD|clim"
"pasSEs","SPD",1.77864485863118,1,30,0.192353695342201,"   ",1.77864485863118,1,0.182315818070093,"   ","pasSEs <= SPD"
"pasSEs","clim",0.244495677536212,1,30,0.624579437882844,"   ",0.244495677536212,1,0.620977789137492,"   ","pasSEs <= clim"
"pasSEs","SPD|clim",0.909916227621398,2,30,0.413380981599443,"   ",1.8198324552428,2,0.402557945857787,"   ","pasSEs <= SPD|clim"
"wetmSEs","SPD",3.45847555358105,2,26,0.0465799150766724,"*  ",6.91695110716209,2,0.0314777115454817,"*  ","wetmSEs <= SPD"
"wetmSEs","clim",0.452348946882963,2,26,0.641044186348502,"   ",0.904697893765926,2,0.636132154659086,"   ","wetmSEs <= clim"
"wetmSEs","SPD|clim",1.81912750512018,4,26,0.155416546275939,"   ",7.27651002048074,4,0.121977730217072,"   ","wetmSEs <= SPD|clim"
"wetwSEs","SPD",0.227510818175092,1,30,0.636832065049302,"   ",0.227510818175092,1,0.633375693283966,"   ","wetwSEs <= SPD"
"wetwSEs","clim",0.591480731786471,1,30,0.447860086621545,"   ",0.591480731786471,1,0.44184709948701,"   ","wetwSEs <= clim"
"wetwSEs","SPD|clim",0.311294205367543,2,30,0.734835896362339,"   ",0.622588410735086,2,0.732498339221753,"   ","wetwSEs <= SPD|clim"
"decSEs","SPD",0.0878230821667415,1,30,0.769005045479478,"   ",0.0878230821667415,1,0.766963114990305,"   ","decSEs <= SPD"
"decSEs","clim",0.0973068084587693,1,30,0.75724358581466,"   ",0.0973068084587693,1,0.755085824271499,"   ","decSEs <= clim"
"decSEs","SPD|clim",0.0648057780492072,2,30,0.937380320893071,"   ",0.129611556098414,2,0.937249480123417,"   ","decSEs <= SPD|clim"
"conSEs","SPD",0.148193832336742,1,30,0.702983202230845,"   ",0.148193832336742,1,0.700267406682382,"   ","conSEs <= SPD"
"conSEs","clim",1.35799718490401,1,30,0.253067196683694,"   ",1.35799718490401,1,0.243884888696248,"   ","conSEs <= clim"
"conSEs","SPD|clim",0.687664702773251,2,30,0.51049842798598,"   ",1.3753294055465,2,0.502748767035354,"   ","conSEs <= SPD|clim"
"heaNs","SPD",NA,0,0,NA,"",NA,0,1,"   ","heaNs <= SPD"
"heaNs","clim",NA,0,0,NA,"",NA,0,1,"   ","heaNs <= clim"
"heaNs","SPD|clim",NA,2,0,NA,"",NA,2,NA,"","heaNs <= SPD|clim"
"araNs","SPD",NA,0,0,NA,"",NA,0,1,"   ","araNs <= SPD"
"araNs","clim",NA,0,0,NA,"",NA,0,1,"   ","araNs <= clim"
"araNs","SPD|clim",NA,2,0,NA,"",NA,2,NA,"","araNs <= SPD|clim"
"pasNs","SPD",NA,0,0,NA,"",NA,0,1,"   ","pasNs <= SPD"
"pasNs","clim",NA,0,0,NA,"",NA,0,1,"   ","pasNs <= clim"
"pasNs","SPD|clim",NA,2,0,NA,"",NA,2,NA,"","pasNs <= SPD|clim"
"wetmNs","SPD",NA,0,0,NA,"",NA,0,1,"   ","wetmNs <= SPD"
"wetmNs","clim",NA,0,0,NA,"",NA,0,1,"   ","wetmNs <= clim"
"wetmNs","SPD|clim",NA,2,0,NA,"",NA,2,NA,"","wetmNs <= SPD|clim"
"wetwNs","SPD",NA,0,0,NA,"",NA,0,1,"   ","wetwNs <= SPD"
"wetwNs","clim",NA,0,0,NA,"",NA,0,1,"   ","wetwNs <= clim"
"wetwNs","SPD|clim",NA,2,0,NA,"",NA,2,NA,"","wetwNs <= SPD|clim"
"decNs","SPD",NA,0,0,NA,"",NA,0,1,"   ","decNs <= SPD"
"decNs","clim",NA,0,0,NA,"",NA,0,1,"   ","decNs <= clim"
"decNs","SPD|clim",NA,2,0,NA,"",NA,2,NA,"","decNs <= SPD|clim"
"conNs","SPD",NA,0,0,NA,"",NA,0,1,"   ","conNs <= SPD"
"conNs","clim",NA,0,0,NA,"",NA,0,1,"   ","conNs <= clim"
"conNs","SPD|clim",NA,2,0,NA,"",NA,2,NA,"","conNs <= SPD|clim"
