"","site","long","lat","location","dataSet"
"143",1903,14.53,57.63,"Europe>Northern Europe>Scandinavia>Sweden","Kansjon.EPD"
"144",1904,14.53,57.63,"Europe>Northern Europe>Scandinavia>Sweden","Kansjon.EPD"
"145",1905,14.53,57.63,"Europe>Northern Europe>Scandinavia>Sweden","Kansjon.EPD"
"146",1906,14.53,57.63,"Europe>Northern Europe>Scandinavia>Sweden","Kansjon.EPD"
"147",1907,14.53,57.63,"Europe>Northern Europe>Scandinavia>Sweden","Kansjon.EPD"
"148",1908,14.53,57.63,"Europe>Northern Europe>Scandinavia>Sweden","Kansjon.EPD"
"149",1909,14.53,57.63,"Europe>Northern Europe>Scandinavia>Sweden","Kansjon.EPD"
"150",1962,10.37,62.02,"Europe>Northern Europe>Scandinavia>Norway","Kinnshaugen.Seppa.2009"
"151",1963,10.37,62.02,"Europe>Northern Europe>Scandinavia>Norway","Kinnshaugen.Seppa.2009"
"152",1964,10.37,62.02,"Europe>Northern Europe>Scandinavia>Norway","Kinnshaugen.Seppa.2009"
"153",1965,16.4044,61.8211,"Europe>Northern Europe>Scandinavia>Sweden","Klotjaernen.Pollen.Sweden"
"154",1966,16.4044,61.8211,"Europe>Northern Europe>Scandinavia>Sweden","Klotjaernen.Pollen.Sweden"
"155",1967,16.4044,61.8211,"Europe>Northern Europe>Scandinavia>Sweden","Klotjaernen.Pollen.Sweden"
"156",1968,16.4044,61.8211,"Europe>Northern Europe>Scandinavia>Sweden","Klotjaernen.Pollen.Sweden"
"157",1969,16.4044,61.8211,"Europe>Northern Europe>Scandinavia>Sweden","Klotjaernen.Pollen.Sweden"
"158",1970,16.4044,61.8211,"Europe>Northern Europe>Scandinavia>Sweden","Klotjaernen.Pollen.Sweden"
"159",1971,16.4044,61.8211,"Europe>Northern Europe>Scandinavia>Sweden","Klotjaernen.Pollen.Sweden"
"160",1972,16.4044,61.8211,"Europe>Northern Europe>Scandinavia>Sweden","Klotjaernen.Pollen.Sweden"
"161",1973,16.4044,61.8211,"Europe>Northern Europe>Scandinavia>Sweden","Klotjaernen.Pollen.Sweden"
"162",1974,16.4044,61.8211,"Europe>Northern Europe>Scandinavia>Sweden","Klotjaernen.Pollen.Sweden"
"163",1975,16.4044,61.8211,"Europe>Northern Europe>Scandinavia>Sweden","klotjarnen.Seppa.2009"
"164",1976,16.4044,61.8211,"Europe>Northern Europe>Scandinavia>Sweden","klotjarnen.Seppa.2009"
"165",1977,16.4044,61.8211,"Europe>Northern Europe>Scandinavia>Sweden","klotjarnen.Seppa.2009"
"166",2061,35.32,68.8,"Europe>Eastern Europe>Russian Federation","KP2.Seppa.2009"
"167",2062,35.32,68.8,"Europe>Eastern Europe>Russian Federation","KP2.Seppa.2009"
"168",2063,35.32,68.8,"Europe>Eastern Europe>Russian Federation","KP2.Seppa.2009"
"169",2214,26.0833,61.4833,"Europe>Northern Europe>Scandinavia>Finland","Laihalampi.Giesecke.2008"
"170",2215,26.0833,61.4833,"Europe>Northern Europe>Scandinavia>Finland","Laihalampi.Giesecke.2008"
"171",2216,26.0833,61.4833,"Europe>Northern Europe>Scandinavia>Finland","Laihalampi.Giesecke.2008"
"172",2217,26.0833,61.4833,"Europe>Northern Europe>Scandinavia>Finland","Laihalampi.Giesecke.2008"
"173",2218,26.0833,61.4833,"Europe>Northern Europe>Scandinavia>Finland","Laihalampi.Giesecke.2008"
"174",2219,26.0833,61.4833,"Europe>Northern Europe>Scandinavia>Finland","Laihalampi.Giesecke.2008"
"175",2220,26.0833,61.4833,"Europe>Northern Europe>Scandinavia>Finland","Laihalampi.Giesecke.2008"
"176",2221,26.0833,61.4833,"Europe>Northern Europe>Scandinavia>Finland","Laihalampi.Giesecke.2008"
"177",2222,26.0833,61.4833,"Europe>Northern Europe>Scandinavia>Finland","Laihalampi.Giesecke.2008"
"178",2223,26.0833,61.4833,"Europe>Northern Europe>Scandinavia>Finland","Laihalampi.Giesecke.2008"
"179",2224,26.07,61.48,"Europe>Northern Europe>Scandinavia>Finland","Laihalampi.Heikkila.2003"
"180",2225,26.07,61.48,"Europe>Northern Europe>Scandinavia>Finland","Laihalampi.Heikkila.2003"
"181",2226,26.07,61.48,"Europe>Northern Europe>Scandinavia>Finland","Laihalampi.Heikkila.2003"
"182",2246,25,69,"Europe>Northern Europe>Scandinavia>Norway","Lapland.Helama.2009"
"183",2247,25,69,"Europe>Northern Europe>Scandinavia>Norway","Lapland.Helama.2009"
"184",2306,14.87,68.52,"Europe>Northern Europe>Scandinavia>Norway","Liltlvatn.Seppa.2009"
"185",2307,14.87,68.52,"Europe>Northern Europe>Scandinavia>Norway","Liltlvatn.Seppa.2009"
"186",2308,14.87,68.52,"Europe>Northern Europe>Scandinavia>Norway","Liltlvatn.Seppa.2009"
"187",3128,29.8992,60.5309,"Europe>Eastern Europe>Russian Federation","Medvedevskoe.Nazarova.2018"
"188",3129,29.8992,60.5309,"Europe>Eastern Europe>Russian Federation","Medvedevskoe.Nazarova.2018"
"189",3130,29.8992,60.5309,"Europe>Eastern Europe>Russian Federation","Medvedevskoe.Nazarova.2018"
"190",3131,29.8992,60.5309,"Europe>Eastern Europe>Russian Federation","Medvedevskoe.Nazarova.2018"
"191",3132,29.8992,60.5309,"Europe>Eastern Europe>Russian Federation","Medvedevskoe.Nazarova.2018"
"192",3133,29.8992,60.5309,"Europe>Eastern Europe>Russian Federation","Medvedevskoe.Nazarova.2018"
