"","human.footprint.Age","human.footprint.Material"
"789",685,"Charcoal"
"790",685,"Charcoal"
"791",687,"Charcoal"
"792",688,"Charcoal"
"793",688,"Charcoal"
"794",690,"charcoal"
"795",690,"mortar"
"796",690,"Wood/Charcoal"
"797",690,"Charcoal"
"798",690,"Charcoal"
"799",691,"Charcoal"
"800",692,"Charcoal"
"801",695,"Hazel nutshell"
"802",696,"Charcoal"
"803",697,"Charcoal"
"804",697,"Birchbark"
"805",697,"Charcoal"
"806",699,"Charcoal"
"807",699,"Charcoal"
"808",700,"charcoal"
"809",700,"charcoal"
"810",700,"charcoal"
"811",700,"charcoal"
"812",700,"charcoal"
"813",700,"charcoal"
"814",700,"Charcoal"
"815",700,"Charcoal"
"816",704,"Charcoal"
"817",705,"Charcoal"
"818",705,"Charcoal"
"819",705,"Charcoal"
"820",707,"Charcoal"
"821",709,"Charcoal"
"822",710,"Charcoal"
"823",710,"charcoal"
"824",710,"charcoal"
"825",710,"mortar"
"826",710,"Charcoal"
"827",710,"Charcoal"
"828",710,"Charcoal"
"829",711,"Charcoal"
"830",714,"Charcoal"
"831",715,"Charcoal"
"832",716,"Charcoal"
"833",716,"Charcoal"
"834",717,"Charcoal"
"835",717,"Charcoal"
"836",718,"Charcoal"
"837",720,"wood"
"838",720,"Charcoal"
"839",720,"Charcoal"
"840",720,"Charcoal"
"841",721,"Charcoal"
"842",722,"Charcoal"
"843",722,"Charcoal"
"844",722,"Charcoal"
"845",724,"Charcoal"
"846",725,"Charcoal"
"847",725,"Charcoal"
"848",725,"Charcoal"
"849",727,"Charcoal"
"850",730,"Charcoal"
"851",730,"Charcoal"
"852",730,"charcoal"
"853",730,"charcoal"
"854",730,"mortar"
"855",730,"charcoal"
"856",730,"Birch bark tar"
"857",730,"Charcoal"
"858",730,"Charcoal"
"859",730,"Charcoal"
"860",730,"Charcoal"
"861",732,"Charcoal"
"862",732,"Charcoal"
"863",733,"Charcoal"
"864",733,"Charcoal"
"865",733,"Charcoal"
"866",734,"Charcoal"
"867",735,"charcoal"
"868",735,"Charcoal"
"869",735,"Charcoal"
"870",736,"Charcoal"
"871",737,"Charcoal"
"872",738,"Charcoal"
"873",740,"Charcoal"
"874",740,"charcoal"
"875",740,"charcoal"
"876",740,"Wood"
"877",740,"Charcoal"
"878",740,"Wood"
"879",740,"Charcoal"
"880",740,"Charcoal"
"881",740,"Charcoal"
"882",740,"Charcoal"
"883",740,"Charcoal"
"884",740,"Charcoal"
"885",740,"Charcoal"
"886",741,"Charcoal"
"887",741,"Charcoal"
"888",743,"Charcoal"
"889",743,"Charcoal"
"890",744,"Charcoal"
"891",745,"Charcoal"
"892",748,"Charcoal"
"893",749,"Charcoal"
"894",750,"Charcoal"
"895",750,"mortar"
"896",750,"fiber"
"897",750,"charcoal"
"898",750,"Charcoal"
"899",750,"Charcoal"
"900",750,"Charcoal"
"901",750,"Charcoal"
"902",750,"Charcoal"
"903",750,"Charcoal"
"904",750,"Charcoal"
"905",751,"Charcoal"
"906",751,"Charcoal"
"907",752,"Charcoal"
"908",752,"Charcoal"
"909",753,"Charcoal"
"910",753,"Charcoal"
"911",754,"Birchbark"
"912",754,"Charcoal"
"913",755,"Burned bone"
"914",755,"Charcoal"
"915",756,"Charcoal"
"916",756,"Charcoal"
"917",756,"Charcoal"
"918",757,"Charcoal"
"919",757,"Charcoal"
"920",758,"Charcoal"
"921",759,"Charcoal"
"922",760,"charcoal"
"923",760,"charcoal"
"924",760,"mortar"
"925",760,"charcoal"
"926",760,"charcoal"
"927",760,"Charcoal"
"928",760,"Charcoal"
"929",760,"Charcoal"
"930",760,"Charcoal"
"931",760,"Charcoal"
"932",760,"Charcoal"
"933",761,"Charcoal"
"934",761,"Charcoal"
"935",761,"Charcoal"
"936",763,"Charcoal"
"937",764,"Charcoal"
"938",764,"Charcoal"
"939",765,"Charcoal"
"940",765,"Charcoal"
"941",766,"Charcoal"
"942",766,"Charcoal"
"943",769,"Charcoal"
"944",769,"Charcoal"
"945",769,"Charcoal"
"946",770,"charcoal"
"947",770,"charcoal"
"948",770,"charcoal"
"949",770,"charcoal"
"950",770,"charcoal"
"951",770,"Charcoal"
"952",770,"Charcoal"
"953",770,"Charcoal"
"954",770,"Charcoal"
"955",770,"Charcoal"
"956",770,"Charcoal"
"957",772,"Charcoal"
"958",773,"Charcoal"
"959",773,"Charcoal"
"960",774,"Charcoal"
"961",775,"Charcoal"
"962",775,"Charcoal"
"963",776,"Charcoal"
