"","LabID","weighted_mean","long","lat","Material"
"1878","LuS-12917",1630.57083972113,11.05,59.283333,"bone"
"1879","LuS-12918",1263.43759445536,11.05,59.283333,"bone"
"1880","LuS-12919",1853.34678724624,11.05,59.283333,"bone"
"1881","LuS-12920",1641.83824188152,11.05,59.283333,"bone"
"1882","LuS-12921",1077.16865663963,11.05,59.283333,"bone"
"1883","LuS-12922",1483.929399154,11.05,59.283333,"bone"
"1884","LuS-12923",1442.80113682669,11.05,59.283333,"bone"
"1885","LuS-12924",1595.08607552174,11.05,59.283333,"bone"
"1886","LuS-12925",1199.16386317533,11.05,59.283333,"bone"
"1887","LuS-12926",1587.80989520405,11.05,59.283333,"bone"
"1888","LuS-12927",1710.68080732502,11.05,59.283333,"bone"
"1889","LuS-12928",1746.89244297737,11.05,59.283333,"bone"
"1890","LuS-12929",1517.42934831332,11.05,59.283333,"bone"
"1891","LuS-12930",1553.900017065,11.05,59.283333,"bone"
"1892","LuS-12931",1630.83641157878,11.05,59.283333,"bone"
"1893","LuS-12932",1581.77397468689,11.05,59.283333,"bone"
"1894","LuS-12933",1438.42461721859,11.05,59.283333,"bone"
"1895","LuS-12934",1379.73569789547,11.05,59.283333,"bone"
"1896","LuS-12935",1627.23309096967,11.05,59.283333,"bone"
"1897","LuS-12936",1583.97905472598,11.05,59.283333,"bone"
"1898","LuS-12937",1526.35355979786,11.05,59.283333,"bone"
"1899","LuS-12938",1995.71954506857,11.05,59.283333,"bone"
"1900","LuS-12939",1920.67576527064,11.05,59.283333,"bone"
"1901","LuS-12940",2010.01413890844,11.05,59.283333,"bone"
"1902","LuS-13363",6983.64147858665,11.1,59.29,"Charcoal"
"1903","LuS-13364",3287.92755374994,11.1,59.29,"Charcoal"
"1904","LuS-13365",9435.32201718192,11.1,59.29,"Charcoal"
"1905","LuS-13366",9389.96301669968,11.1,59.29,"Charcoal"
"1906","LuS-13368",2505.99124025801,11.05,59.283333,"Charcoal"
"1907","LuS-13369",2559.92921834484,11.05,59.283333,"Charcoal"
"1908","LuS-13370",2572.63986817674,11.05,59.283333,"Charcoal"
"1909","LuS-13371",1595.08607552174,11.05,59.283333,"Charcoal"
"1910","LuS-13372",1687.20918673228,11.05,59.283333,"Charcoal"
"1911","LuS-13373",165.187918204808,11.05,59.283333,"Charcoal"
"1912","LuS-13374",318.836484164776,11.05,59.283333,"Charcoal"
"1913","LuS-13375",830.318691034585,11.05,59.283333,"Charcoal"
"1914","LuS-13376",1461.88589422951,11.05,59.283333,"Charcoal"
"1915","LuS-13377",2465.21309068053,11.05,59.283333,"Charcoal"
"1916","LuS-13378",1422.78649550735,11.05,59.283333,"Charcoal"
"1917","LuS-13379",529.411608478446,11.05,59.283333,"Charcoal"
"1918","LuS-13380",742.822913464213,11.05,59.283333,"Charcoal"
"1919","LuS-13381",742.822913464213,11.05,59.283333,"Charcoal"
"1920","LuS-13382",2576.97196516196,11.05,59.283333,"Charcoal"
"1921","LuS-13383",2526.85051101583,11.05,59.283333,"Charcoal"
"1922","LuS-13384",605.734894734536,11.05,59.283333,"Charcoal"
"1923","LuS-13385",288.338726776754,11.05,59.283333,"Charcoal"
"1924","LuS-13386",434.310456308881,11.05,59.283333,"Charcoal"
"1925","LuS-9184",5516.44972650906,16.8273,59.6558,"plant macrofossils"
"1926","LuS-9570",5485.56741206312,16.8273,59.6558,"plant macrofossils"
"1927","LuS-9571",5436.86381150726,16.8273,59.6558,"plant macrofossils"
"1928","Lus-12319",1483.929399154,10.454,59.291,"Charcoal"
"1929","Lus-12320",1343.0611854353,10.454,59.291,"Charcoal"
"1930","Lus-12321",3204.51562993701,10.454,59.291,"Charcoal"
"1931","Lus-12322",1186.20304170172,10.4,59.28,"Charcoal"
"1932","Lus-12323",3483.86904960082,10.4,59.28,"Charcoal"
"1933","Lus-12324",2162.43160533784,10.454,59.291,"Charcoal"
"1934","Lus-12325",1186.20304170172,10.454,59.291,"Charcoal"
"1935","Lus-12326",3483.86904960082,10.454,59.291,"Charcoal"
"1936","Lus-12337",140.745089062584,9.93,59.89,"Burned bone"
"1937","Lus-12347",1616.29390906356,11.067106,60.196816,"burned bone"
"1938","Lus-12348",1519.32783903439,11.067106,60.196816,"burned bone"
"1939","Lus-12349",1623.62084593829,11.067106,60.196816,"burned bone"
"1940","Lus-12350",1442.80113682669,11.067106,60.196816,"burned bone"
"1941","Lus-12351",2249.22138716884,11.067106,60.196816,"burned bone"
"1942","Lus-12362",140.745089062584,11.1,59.29,"charcoal"
"1943","Lus-12363",147.645352080014,11.1,59.29,"Charcoal"
"1944","Lus-12369",1433.41497948612,10.852657,59.930618,"Macrofossil"
"1945","Lus-12370",1604.52517000781,10.852657,59.930618,"charcoal"
"1946","Lus-12371",158.690966534476,10.852657,59.930618,"charcoal"
"1947","Lus-12372",411.226542835119,10.852657,59.930618,"charcoal"
"1948","Lus-12373",189.357012369853,10.852657,59.930618,"charcoal"
"1949","Lus-12374",1462.40615859468,10.852657,59.930618,"charcoal"
"1950","Lus-12375",1620.09138753911,10.852657,59.930618,"charcoal"
"1951","Lus-12376",1506.46666464718,10.852657,59.930618,"charcoal"
"1952","Lus-12377",1692.59741498346,10.852657,59.930618,"charcoal"
"1953","Lus-12378",1428.40335687305,10.852657,59.930618,"charcoal"
"1954","Lus-12386",1475.88610617338,11.067106,60.196816,"charcoal"
"1955","Lus-12387",1616.20982565415,11.067106,60.196816,"charcoal"
"1956","Lus-12388",1546.04647076067,11.067106,60.196816,"charcoal"
"1957","Lus-12389",1564.59384087894,11.067106,60.196816,"charcoal"
"1958","Lus-12390",1003.98051712757,11.067106,60.196816,"macrofossil"
"1959","Lus-12391",1427.55287175877,11.067106,60.196816,"charcoal"
"1960","Lus-12396",626.650619522844,9.205104,60.31874,"charcoal"
"1961","Lus-12397",825.920265294487,9.205104,60.31874,"charcoal"
"1962","Lus-12398",588.708734343841,9.205104,60.31874,"charcoal"
"1963","Lus-12399",821.037396997678,9.205104,60.31874,"charcoal"
"1964","Lus-12400",615.345064884351,9.205104,60.31874,"charcoal"
"1965","Lus-12401",673.266811338036,9.205104,60.31874,"charcoal"
"1966","Lus-12402",766.187287809084,9.205104,60.31874,"charcoal"
"1967","Lus-12403",1438.74280926646,9.553103,59.176029,"charcoal"
"1968","Lus-12404",2415.94442091501,9.553103,59.176029,"charcoal"
"1969","Lus-12405",1807.45221405562,9.553103,59.176029,"charcoal"
"1970","Lus-12406",1672.66122205481,9.553103,59.176029,"charcoal"
"1971","Lus-12407",1725.60181163744,9.553103,59.176029,"charcoal"
"1972","Lus-12408",132.890161863031,9.553103,59.176029,"charcoal"
"1973","Lus-12409",130.522216648477,9.553103,59.176029,"charcoal"
"1974","Lus-12410",2196.01272376459,9.553103,59.176029,"charcoal"
"1975","Lus-12411",2056.2838589659,9.553103,59.176029,"charcoal"
"1976","Lus-12412",2171.92046244544,9.553103,59.176029,"charcoal"
"1977","Lus-12413",2062.26924416809,9.553103,59.176029,"charcoal"
"1978","Lus-12414",2244.34565223343,9.553103,59.176029,"charcoal"
"1979","Lus-12415",2500.51841752142,9.553103,59.176029,"charcoal"
"1980","Lus-12416",2044.17656032372,9.553103,59.176029,"charcoal"
"1981","Lus-12417",2533.43557549276,9.553103,59.176029,"charcoal"
"1982","Lus-12418",3059.82804068162,9.553103,59.176029,"charcoal"
"1983","Lus-12419",3576.56959362602,9.553103,59.176029,"charcoal"
"1984","Lus-12420",1662.41685979441,9.553103,59.176029,"charcoal"
"1985","Lus-12421",1646.15181369749,9.553103,59.176029,"charcoal"
"1986","Lus-12422",3204.51562993701,9.553103,59.176029,"charcoal"
"1987","Lus-12423",2428.92227879839,9.553103,59.176029,"charcoal"
"1988","Lus-12424",1506.46666464718,9.553103,59.176029,"charcoal"
"1989","Lus-12425",2247.42275548877,10.63,59.69,"charcoal"
"1990","Lus-12426",1192.59799308262,10.63,59.69,"charcoal"
"1991","Lus-12427",1825.76114705312,10.63,59.69,"charcoal"
"1992","Lus-12428",766.187287809084,10.63,59.69,"charcoal"
