"","Row.Id","LabID","Age","Error","Material","Taxa","d13C","Method","Long","Lat","LocAccuracy","Period","SiteID","SiteName","Country","Province","Continent","Source","Reference"
"5250",153779,"T2053",4430,80,"Shell","","","",28.846,70.07,2,"","","Nyelv Nedre Vest (Nyelv 2)Hus 30","Norway","","Europe","Jorgensen_2020","Jørgensen E. K. 2017. The Palaeodemographic and Environmental Dynamics of Prehistoric Arctic Norway: An Overview of Human-Climate Covariation"
"5251",153780,"T2054",4780,80,"Shell","","","",28.7869,70.0758,2,"","","AdvikHus h","Norway","","Europe","Jorgensen_2020","Jørgensen E. K. 2017. The Palaeodemographic and Environmental Dynamics of Prehistoric Arctic Norway: An Overview of Human-Climate Covariation"
"5252",153781,"T2055",4520,90,"Shell","","","",28.846,70.07,2,"","","Nyelv Nedre Vest (Nyelv 2)Hus 1","Norway","","Europe","Jorgensen_2020","Jørgensen E. K. 2017. The Palaeodemographic and Environmental Dynamics of Prehistoric Arctic Norway: An Overview of Human-Climate Covariation"
"5253",153782,"T2056",3730,90,"Shell","","","",28.7869,70.0758,2,"","","AdvikHus n","Norway","","Europe","Jorgensen_2020","Jørgensen E. K. 2017. The Palaeodemographic and Environmental Dynamics of Prehistoric Arctic Norway: An Overview of Human-Climate Covariation"
"5254",153783,"T2057",4390,70,"Shell","","","",28.7869,70.0758,2,"","","AdvikHus k","Norway","","Europe","Jorgensen_2020","Jørgensen E. K. 2017. The Palaeodemographic and Environmental Dynamics of Prehistoric Arctic Norway: An Overview of Human-Climate Covariation"
"5255",153784,"T2058",3600,80,"Shell","","","",28.7869,70.0758,2,"","","Advik","Norway","","Europe","Jorgensen_2020","Jørgensen E. K. 2017. The Palaeodemographic and Environmental Dynamics of Prehistoric Arctic Norway: An Overview of Human-Climate Covariation"
"5256",153785,"T2058B",3630,80,"Shell","","","",28.7869,70.0758,2,"","","AdvikHus b","Norway","","Europe","Jorgensen_2020","Jørgensen E. K. 2017. The Palaeodemographic and Environmental Dynamics of Prehistoric Arctic Norway: An Overview of Human-Climate Covariation"
"5257",153786,"T2059",3550,70,"Shell","","","",28.81876,70.074772,2,"","","Gressbakken Nò (Nyelv 4)Hus 21","Norway","","Europe","Jorgensen_2020","Jørgensen E. K. 2017. The Palaeodemographic and Environmental Dynamics of Prehistoric Arctic Norway: An Overview of Human-Climate Covariation"
"5258",153787,"T2060",3600,90,"Charcoal","","","",28.81876,70.074772,2,"","","Gressbakken Nò (Nyelv 4)Hus 23","Norway","","Europe","Jorgensen_2020",""
"5259",153788,"T2159",6810,100,"Charcoal / Shell","","","",28.57979,70.111422,2,"","","GropbakkeengenMound C","Norway","","Europe","Jorgensen_2020",""
"5260",153790,"T2161",3900,110,"Bone","","","",28.81876,70.074772,2,"","","Gressbakken NVHus 1","Norway","","Europe","Jorgensen_2020","Jørgensen E. K. 2017. The Palaeodemographic and Environmental Dynamics of Prehistoric Arctic Norway: An Overview of Human-Climate Covariation"
