"","Row.Id","LabID","Age","Error","Material","Taxa","d13C","Method","Long","Lat","LocAccuracy","Period","SiteID","SiteName","Country","Province","Continent","Source","Reference"
"5927",155377,"TUa-3276",5965,75,"Charcoal","","","",11.2507,59.1021,2,"","","Berget 1","Norway","","Europe","Solheim_Norway",""
"5928",155378,"TUa-3277",1365,75,"Charcoal","","","",11.257,59.102,2,"","","Berget 1","Norway","","Europe","Solheim_Norway",""
"5929",155379,"TUa-3278",3680,70,"Charcoal","","","",11.25099,59.097606,2,"","","Torpum 9b","Norway","","Europe","Solheim_Norway",""
"5930",155380,"TUa-3279",6530,70,"Charcoal","","","",11.25099,59.097606,2,"","","Torpum 9b","Norway","","Europe","Solheim_Norway",""
"5931",155381,"TUa-3280",6325,75,"Charcoal","","","",11.25099,59.097606,2,"","","Torpum 9b","Norway","","Europe","Solheim_Norway",""
"5932",155382,"TUa-3281",1575,70,"Charcoal","","","",11.2507,59.1021,2,"","","Berget 2","Norway","","Europe","Solheim_Norway",""
"5933",155383,"TUa-3282",3005,70,"Charcoal","","","",11.249988,59.097609,2,"","","Torpum 9a","Norway","","Europe","Solheim_Norway",""
"5934",155384,"TUa-3283",2915,70,"Charcoal","","","",11.249988,59.097609,2,"","","Torpum 9a","Norway","","Europe","Solheim_Norway",""
"5935",155385,"TUa-3284",2875,65,"Charcoal","","","",11.249988,59.097609,2,"","","Torpum 9a","Norway","","Europe","Solheim_Norway",""
"5936",155386,"TUa-3285",3530,65,"Charcoal","","","",11.249988,59.097609,2,"","","Torpum 9a","Norway","","Europe","Solheim_Norway",""
"5937",155387,"TUa-3286",6940,75,"Charcoal","","","",11.249988,59.097609,2,"","","Torpum 9a","Norway","","Europe","Solheim_Norway",""
"5938",155388,"TUa-3287",2865,65,"Charcoal","","","",11.249988,59.097609,2,"","","Torpum 9a","Norway","","Europe","Solheim_Norway",""
"5939",155389,"TUa-3421",1619,65,"Charcoal","","","",10.85,60.766667,2,"","","Nerby søndre","Norway","","Europe","Solheim_Norway",""
"5940",155390,"TUa-3422",654,52,"Charcoal","","","",10.85,60.766667,2,"","","Nerby søndre","Norway","","Europe","Solheim_Norway",""
"5941",155391,"TUa-3423",811,69,"Charcoal","","","",10.85,60.766667,2,"","","Nerby søndre","Norway","","Europe","Solheim_Norway",""
"5942",155392,"TUa-3424",336,65,"Charcoal","","","",10.85,60.766667,2,"","","Nerby søndre","Norway","","Europe","Solheim_Norway",""
"5943",155393,"TUa-3464",144,38,"Charcoal","","","",11.066667,59.633333,2,"","","Hylli","Norway","","Europe","Solheim_Norway","J√∏rgensen E. K. 2017. The Palaeodemographic and Environmental Dynamics of Prehistoric Arctic Norway: An Overview of Human-Climate Covariation"
