"","Age"
"1856",1145
"1857",1145
"1858",1145
"1859",1145
"1860",1146
"1861",1147
"1862",1150
"1863",1150
"1864",1150
"1865",1150
"1866",1150
"1867",1151
"1868",1153
"1869",1155
"1870",1155
"1871",1157
"1872",1157
"1873",1158
"1874",1158
"1875",1159
"1876",1160
"1877",1160
"1878",1160
"1879",1160
"1880",1160
"1881",1160
"1882",1160
"1883",1160
"1884",1160
"1885",1160
"1886",1160
"1887",1165
"1888",1165
"1889",1165
"1890",1167
"1891",1167
"1892",1168
"1893",1170
"1894",1170
"1895",1170
"1896",1170
"1897",1171
"1898",1173
"1899",1173
"1900",1174
"1901",1175
"1902",1175
"1903",1177
"1904",1177
"1905",1180
"1906",1180
"1907",1180
"1908",1180
"1909",1180
"1910",1180
"1911",1180
"1912",1184
"1913",1184
"1914",1184
"1915",1185
"1916",1187
"1917",1189
"1918",1189
"1919",1189
"1920",1190
"1921",1190
"1922",1190
"1923",1190
"1924",1190
"1925",1190
"1926",1190
"1927",1190
"1928",1190
"1929",1190
"1930",1192
"1931",1192
"1932",1193
"1933",1193
"1934",1195
"1935",1195
"1936",1198
"1937",1199
"1938",1199
"1939",1200
"1940",1200
"1941",1200
"1942",1200
"1943",1200
"1944",1200
"1945",1200
"1946",1200
"1947",1200
"1948",1200
"1949",1203
"1950",1204
"1951",1205
"1952",1205
"1953",1205
"1954",1205
"1955",1205
"1956",1207
"1957",1208
"1958",1209
"1959",1210
"1960",1210
"1961",1210
"1962",1210
"1963",1210
"1964",1210
"1965",1210
"1966",1210
"1967",1210
"1968",1211
"1969",1212
"1970",1216
"1971",1216
"1972",1217
"1973",1218
"1974",1220
"1975",1220
"1976",1220
"1977",1220
"1978",1220
"1979",1223
"1980",1225
"1981",1228
"1982",1229
"1983",1229
"1984",1229
"1985",1230
"1986",1230
"1987",1233
"1988",1234
"1989",1234
"1990",1234
"1991",1235
"1992",1236
"1993",1237
"1994",1240
"1995",1240
"1996",1240
"1997",1240
"1998",1240
"1999",1241
"2000",1245
"2001",1245
"2002",1245
"2003",1248
"2004",1248
"2005",1249
"2006",1250
"2007",1250
"2008",1250
"2009",1250
"2010",1250
"2011",1250
"2012",1251
"2013",1253
"2014",1255
"2015",1256
"2016",1256
"2017",1259
"2018",1260
"2019",1260
"2020",1260
"2021",1260
"2022",1260
"2023",1260
"2024",1260
"2025",1260
"2026",1261
"2027",1261
"2028",1263
"2029",1265
"2030",1265
"2031",1270
"2032",1270
"2033",1274
"2034",1275
"2035",1277
"2036",1280
"2037",1280
"2038",1280
"2039",1280
"2040",1280
"2041",1280
"2042",1284
"2043",1285
"2044",1285
"2045",1289
"2046",1290
"2047",1290
"2048",1290
"2049",1290
"2050",1290
"2051",1293
"2052",1294
"2053",1295
"2054",1296
"2055",1298
"2056",1299
"2057",1300
"2058",1300
"2059",1300
"2060",1300
"2061",1300
"2062",1300
"2063",1300
"2064",1305
"2065",1305
"2066",1305
"2067",1305
"2068",1310
"2069",1310
"2070",1310
"2071",1310
"2072",1315
"2073",1316
"2074",1320
"2075",1320
"2076",1320
"2077",1325
"2078",1326
"2079",1327
"2080",1330
"2081",1330
"2082",1330
"2083",1330
"2084",1330
"2085",1330
"2086",1331
