"yearsBP","conN","decN","wetwN","wetmN","pasN","araN","heaN","SPD","clim","conNs","decNs","wetwNs","wetmNs","pasNs","araNs","heaNs"
4500,2.60334661203939,3.20812050682986,0.309900703855486,0.251357400808957,0.194760610490392,0.0182402137760032,0.400887947118254,0.0953873654514655,-0.321275334402,2.65347076453038,3.32914842060684,0.314463413657578,0.304685332931657,0.25183314949323,0.0141139970810707,0.484644234510203
4400,1.90721063797644,2.77006470468076,0.483052512148443,0.37128389646469,0.186026751623912,0.0100533932532578,0.598467512369838,0.115080636379853,-0.342537893745,2.57596565423048,3.32762214107144,0.360791339534367,0.324178635607499,0.24261849117498,0.0141468035146307,0.500468124778963
4300,2.11710309981338,2.69891184087446,0.301607030672451,0.184314387305041,0.158285216509515,0.0210553873170696,0.23681178045664,0.103256435412695,-0.669803582835,2.42318121269804,3.30379701286341,0.364853415558793,0.300812377416323,0.235195143379256,0.0155543902851639,0.467419106040541
4200,2.47308132728239,4.24332771113122,0.361826673161246,0.410097350511979,0.273831511562873,0.033324093186695,0.463228331258217,0.102002952739462,-0.329636889559,2.3974367327059,3.4168652426376,0.382162071994046,0.320957915336723,0.233569219691617,0.0271897402518825,0.450470014208355
4100,2.81718062440662,3.05543473931618,0.422302303758247,0.347241564202589,0.227839889528278,0.0201178049216418,0.53727421274773,0.116061837592432,-0.551378467644,2.53321691984973,3.27925229330497,0.361912002530648,0.321050146290147,0.214824156536294,0.0267209490541686,0.438994458641451
4000,2.17369108156399,3.97733534808953,0.375211516322591,0.224794311585288,0.258361695155363,0.0616450897524755,0.412534936817736,0.135199730371362,-0.359082099937,2.3486022305137,3.22119433374011,0.386446831080694,0.306657907571074,0.209162839335741,0.0408814473370589,0.425653595029661
3900,1.8281648381237,2.26996179544728,0.387931786820264,0.265174125900243,0.207431141978782,0.0242658596639078,0.487100604656531,0.15770493674815,0.11201512909,2.21940526819442,3.16092102779344,0.3951485356337,0.302932406723811,0.215219545264159,0.0429554747081919,0.448043617917849
3800,3.2374490935135,5.04044834147964,0.502114257211986,0.441713394360152,0.411476364349184,0.0309300417047673,0.675189744083018,0.155944810024624,-0.812908559429,2.44111167745059,3.40795062348112,0.42175252011828,0.311997053892367,0.246178938672558,0.0275979506843378,0.487229588912815
3700,1.70911284306369,1.51759522396442,0.485252915812419,0.190901223009751,0.109272649503747,0.0196761804209832,0.903648442514931,0.14067029720617,-0.222246578147,2.37311330132565,3.19663496312294,0.458432986614889,0.304440031667467,0.235214066941106,0.0253031110628755,0.530826864647829
3600,2.2987142946607,4.13891309035332,0.326626534334397,0.334111703048216,0.28640003913891,0.0169485524338646,0.469192429691173,0.153614379485126,-0.250364230649,2.34405212922203,3.36774101133201,0.437997902452934,0.299793507490407,0.253516184459591,0.0183123664274241,0.564024100252762
